[2025-10-08 18:32:24] [WD] hb uptime=75s restarts=0 child_alive=True
[2025-10-08 18:32:29] [WD] hb uptime=80s restarts=0 child_alive=True
[2025-10-08 18:32:34] [WD] hb uptime=85s restarts=0 child_alive=True
[2025-10-08 18:32:39] [WD] hb uptime=90s restarts=0 child_alive=True
[2025-10-08 18:32:44] [WD] hb uptime=95s restarts=0 child_alive=True
[2025-10-08 18:32:49] [WD] hb uptime=100s restarts=0 child_alive=True
2025-10-08 18:32:25 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:25 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:26 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:26 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:27 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:27 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:28 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:28 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:29 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:29 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:30 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:30 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:31 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:31 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:32 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:32 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:33 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:33 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:34 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:34 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:35 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:35 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:36 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:36 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:37 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:37 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:38 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:38 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:39 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:39 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:40 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:40 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:41 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:41 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:42 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=369 | arms=trend 0/0.00, breakout 0/0.00
[MD] POLL appended bar 2025-10-08 18:32:40-05:00 close=6811.25 total=370
2025-10-08 18:32:42 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=370 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:32:43 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=371 | arms=trend 0/0.00, breakout 0/0.00
