[INFO] 2025-09-13 10:07:02 Enabled arms: trend,breakout
[INFO] 2025-09-13 10:07:02 Loaded chooser state from .\models\linucb_es.json
[INFO] 2025-09-13 10:07:02 [PING 1] clientId=19 connected: False
[INFO] 2025-09-13 10:07:02 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[INFO] 2025-09-13 10:07:02 Using contract: ESZ5  (conId=495512563)
[INFO] 2025-09-13 10:07:02 [WARMUP] Fetching 5d of 1m bars...
[INFO] 2025-09-13 10:07:04 [WARMUP] Loaded 6900 historical 1m bars.
[INFO] 2025-09-13 10:07:05 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.842 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.842
[HB] 2025-09-13 10:09:08 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:09 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:10 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:11 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:12 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:13 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:14 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:15 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:16 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:17 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:18 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:19 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:20 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:21 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:22 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:23 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:24 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:25 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:26 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:28 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:29 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:30 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:31 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
