============================================================
[START] 2025-09-08 12:44:46
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-08 12:44:47 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-08 12:44:47 [PING 1] clientId=19 connected: False
[LOG] 2025-09-08 12:44:47 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-08 12:44:47 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-08 12:44:47 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-08 12:44:49 [WARMUP] Loaded 7845 historical 1m bars.
[HB] 2025-09-08 12:47:47 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:48 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:49 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:50 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:51 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:52 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:53 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:54 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:55 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:56 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:57 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:58 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:47:59 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=19.2  BBbw=0.0001  ATR%=0.000036  (ok=False)
[HB] 2025-09-08 12:48:00 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:01 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:03 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:04 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:05 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:06 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:07 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:08 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:09 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:10 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:11 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:12 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:13 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:14 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:15 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=20.6  BBbw=0.0001  ATR%=0.000037  (ok=False)
[HB] 2025-09-08 12:48:16 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:17 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:18 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:19 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:20 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:22 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:23 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:24 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:25 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:26 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:27 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:28 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:29 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:30 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:31 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=19.8  BBbw=0.0001  ATR%=0.000034  (ok=False)
[HB] 2025-09-08 12:48:32 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:33 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:34 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:35 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:36 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:37 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:38 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:39 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:41 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:42 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:43 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:44 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:45 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:46 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:47 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=27.1  BBbw=0.0003  ATR%=0.000060  (ok=False)
[HB] 2025-09-08 12:48:48 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:49 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:50 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:51 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:52 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:53 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:54 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:55 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:56 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:57 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:48:58 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:00 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:01 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:02 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:03 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=36.7  BBbw=0.0004  ATR%=0.000062  (ok=False)
[HB] 2025-09-08 12:49:04 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:05 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:06 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:07 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:08 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:09 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:10 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:11 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:12 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:13 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:14 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:15 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:16 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:49:17 CT PnL=0.00 | ChooserArm=mom | Gate=no
