[INFO] 2025-09-14 17:48:04 Enabled arms: trend,breakout,reversion,vwap
[INFO] 2025-09-14 17:48:04 Loaded chooser state from .\models\linucb_es.json
[INFO] 2025-09-14 17:48:04 [PING 1] clientId=19 connected: False
[INFO] 2025-09-14 17:48:04 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[INFO] 2025-09-14 17:48:04 Using contract: ESZ5  (conId=495512563)
[INFO] 2025-09-14 17:48:04 [WARMUP] Fetching 5d of 1m bars...
[INFO] 2025-09-14 17:48:06 [WARMUP] Loaded 5568 historical 1m bars.
[HB] 2025-09-14 17:49:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:43 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:44 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:45 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:46 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:47 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:48 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:49 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:50 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:51 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:52 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:53 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:54 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:56 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:57 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:58 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:49:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:50:00 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:50:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:50:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 17:50:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
